SourceCountry,TargetCountry,Type,Total,Coal,Oil,NaturalGas,Electricity
SOM,YEM,Import,0.0002891,0,0.0002891,0,0
SUR,PAN,Export,0.0002963,0,0.0002963,0,0
TCA,RWA,Import,0.0003017,0,0.0003017,0,0
ATA,ZAF,Import,0.0003225,0,0.0003225,0,0
MNE,AUS,Export,0.000327,0.000327,0,0,0
SXM,USA,Export,0.0003298,0,0.0003298,0,0
WSM,CHN,Import,0.0003298,0,0.0003216,0.0000082,0
ERI,SWE,Import,0.0003306,0,0.0003306,0,0
MMR,IND,Export,0.0003311,0,0.0003311,0,0
GIN,COG,Export,0.0003439,0,0.0003439,0,0
WSM,SGP,Export,0.0003506,0,0.0003506,0,0
BWA,MOZ,Export,0.0003575,0,0.0003575,0,0
CCK,AUS,Export,0.0003784,0,0.0003784,0,0
GRD,CAN,Import,0.00039,0.00039,0,0,0
STP,ESP,Import,0.0004051,0,0.0004051,0,0
AIA,CAN,Import,0.0004137,0.00019,0.0002237,0,0
TCA,CAF,Export,0.0004236,0,0.0004236,0,0
UMI,CAN,Import,0.00043,0.00043,0,0,0
COK,CIV,Import,0.000444,0,0.000444,0,0
CXR,SGP,Import,0.0004446,0,0.0004446,0,0
GNB,ESP,Import,0.0004523,0,0.0004523,0,0
CXR,AUS,Export,0.0004541,0,0.0004541,0,0
SOM,TUR,Import,0.0004574,0,0.0004574,0,0
GRD,TUR,Import,0.0004668,0,0.0004668,0,0
BDI,KEN,Export,0.000473,0,0.000473,0,0
GUY,CRI,Export,0.000473,0,0.000473,0,0
CCK,PER,Import,0.0004812,0,0.0004812,0,0
HND,ESP,Export,0.0004853,0.0000001,0.0004852,0,0
ZWE,CZE,Export,0.0004932,0,0,0,0.0004932
UMI,IND,Export,0.000502,0.000502,0,0,0
TON,NZL,Export,0.0005032,0,0.0005032,0,0
MLI,CIV,Export,0.0005053,0,0.0005053,0,0
KIR,FJI,Export,0.0005293,0,0.0005293,0,0
KNA,CAN,Import,0.0005319,0,0.0005319,0,0
SXM,CAN,Import,0.00054,0.00054,0,0,0
JAM,GRC,Export,0.0005409,0,0.0005409,0,0
GRD,GBR,Import,0.0005595,0.0004161,0.0001434,0,0
TCA,IND,Import,0.0005676,0,0.0005676,0,0
MSR,PAN,Import,0.000609,0,0.000609,0,0
SOM,NLD,Import,0.0006182,0,0.0006182,0,0
STP,NAM,Import,0.0006314,0,0.0006314,0,0
LAO,USA,Import,0.0006599,0,0.0006599,0,0
MDA,SRB,Export,0.0006622,0,0.0006622,0,0
WLF,IND,Export,0.0006622,0,0.0006622,0,0
AND,EST,Import,0.0006936,0,0.0006936,0,0
HMD,COG,Import,0.0007095,0,0.0007095,0,0
BWA,MDG,Import,0.0007183,0,0.0007183,0,0
GIN,BEL,Export,0.0007237,0,0.0007237,0,0
SLB,IND,Export,0.0007249,0,0.0007249,0,0
SLB,PHL,Import,0.0007345,0,0.0007345,0,0
SYR,QAT,Export,0.0007409,0.0006558,0.0000851,0,0
LCA,BHS,Import,0.000745,0,0.000745,0,0
SWZ,SEN,Export,0.0007492,0,0.0007492,0,0
BGD,MYS,Export,0.0007618,0,0.0007618,0,0
MDV,QAT,Export,0.00077,0,0.00077,0,0
BWA,GBR,Import,0.0007717,0,0.0007717,0,0
SWZ,MOZ,Export,0.0007755,0,0.0005955,0,0.00018
KNA,UKR,Import,0.0007756,0,0.0007756,0,0
DMA,SVK,Export,0.00078,0.00078,0,0,0
PCN,COL,Export,0.0007904,0,0.0007904,0,0
MSR,GBR,Import,0.0007956,0,0.0007956,0,0
SUR,SAU,Export,0.0008041,0,0.0008041,0,0
PLW,CIV,Import,0.000817,0,0.000817,0,0
MDA,TUR,Export,0.0008179,0.0008179,0,0,0
DMA,EST,Import,0.00082,0.00082,0,0,0
BES,NLD,Import,0.0008312,0.000813,0.0000183,0,0
GIN,CIV,Export,0.0008356,0,0.0008356,0,0
ATG,IND,Export,0.0008514,0,0.0008514,0,0
CYM,AZE,Import,0.0008855,0,0.0008855,0,0
HND,BRA,Export,0.0008952,0,0.0008952,0,0
BRB,ZAF,Export,0.0008987,0,0.0008987,0,0
ATF,FRA,Import,0.0009041,0,0.0009041,0,0
