index,Country,Cases,Cases_2020,Cases_2021,Cases_2022,Cases_week,Deaths,Deaths_2020,Deaths_2021,Deaths_2022,Deaths_week,Fully_vaccinated,Vaccinated_booster
46,Cook Islands,6389.0,0.0,2,6387.0,0.0000,1.0,0.0,0,1.0,0.0000,86.36,59.92
47,Costa Rica,1143597.0,169321.0,401235,573041.0,0.0000,9031.0,2185.0,5168,1678.0,0.0000,81.82,51.81
48,Cote d'Ivoire,87885.0,22490.0,48514,16881.0,0.0761,830.0,137.0,577,116.0,0.0000,37.04,7.21
49,Croatia,1253067.0,210837.0,504408,537822.0,58.5556,17298.0,3920.0,8618,4760.0,1.2406,55.83,0.0
50,Cuba,1111375.0,11863.0,954141,145371.0,0.4714,8530.0,146.0,8176,208.0,0.0000,89.2,77.17
51,Curacao,45559.0,4260.0,17065,24234.0,17.1871,295.0,14.0,175,106.0,0.7473,52.29,24.83
52,Cyprus,614237.0,22346.0,144481,447410.0,595.6586,1226.0,120.0,518,588.0,1.2756,72.07,53.44
53,Czechia,4171174.0,718661.0,1757068,1695445.0,44.0660,41799.0,11580.0,24549,5670.0,0.5990,65.67,48.41
54,Democratic Republic of Congo,93837.0,17658.0,57135,19044.0,0.0000,1452.0,591.0,614,247.0,0.0000,3.76,0.0
55,Denmark,3349672.0,163479.0,638918,2547275.0,99.3059,7513.0,1298.0,1969,4246.0,1.0443,81.06,62.26
56,Djibouti,15690.0,5831.0,7825,2034.0,0.0000,189.0,61.0,128,0.0,0.0000,24.07,0.0
57,Dominica,15760.0,88.0,6726,8946.0,0.0000,74.0,0.0,47,27.0,0.0000,42.14,5.49
58,Dominican Republic,649834.0,170785.0,247993,231056.0,25.0121,4384.0,2414.0,1833,137.0,0.0000,54.02,22.25
59,Ecuador,1009958.0,212512.0,336906,460540.0,4.5236,35940.0,14034.0,19647,2259.0,0.0397,78.79,54.97
60,Egypt,515645.0,138062.0,247513,130070.0,0.0000,24798.0,7631.0,14121,3046.0,0.0000,36.03,8.73
61,El Salvador,201785.0,46242.0,75703,79840.0,0.0000,4230.0,1327.0,2497,406.0,0.0000,68.56,36.18
