Country,Time,Time_unit,Deaths_old,Deaths_2020,Deaths_2021,Deaths_2022
Belgium,45,week,2006.6,3689,2382,2057
Belgium,46,week,2044,3432,2397,2076
Belgium,47,week,2104.8,3179,2485,2215
Belgium,48,week,2104.2,2893,2728,2242
Belgium,49,week,2164.6,2704,2604,2503
Belgium,50,week,2221,2780,2534,2644
Belgium,51,week,2255.6,2736,2431,3047
Belgium,52,week,2240.4,2617,2449,2869
Belgium,53,week,2123,2441,,
Belize,1,month,165.6,178,198,
Belize,2,month,150.2,166,184,
Belize,3,month,174,166,171,
Belize,4,month,158.6,145,143,
Belize,5,month,154.2,157,170,
Belize,6,month,151.4,168,178,
Belize,7,month,151.2,156,165,
Belize,8,month,151.2,156,242,
Belize,9,month,155.6,149,255,
Belize,10,month,156.6,189,287,
Belize,11,month,156.6,253,314,
Belize,12,month,170.8,275,182,
Bhutan,1,month,323,322,296,
Bhutan,2,month,251,289,269,
Bhutan,3,month,303,273,277,
Bhutan,4,month,233,240,262,
Bhutan,5,month,255,223,252,
Bhutan,6,month,281,214,266,
Bhutan,7,month,247,224,241,
Bhutan,8,month,257,249,256,
Bhutan,9,month,255,274,226,
Bhutan,10,month,249,262,246,
Bhutan,11,month,232,284,289,
Bhutan,12,month,334,255,312,
Bolivia,1,month,4308.8,4717,9977,9779
Bolivia,2,month,3890.6,4364,7382,
Bolivia,3,month,4227.2,4715,6026,
Bolivia,4,month,4038.8,3393,5666,
Bolivia,5,month,4311.4,4763,9055,
Bolivia,6,month,4432.6,8960,10599,
Bolivia,7,month,4456.2,15992,7631,
Bolivia,8,month,4326.4,8283,6087,
Bolivia,9,month,4111.8,5240,5067,
Bolivia,10,month,4200.2,4972,5045,
Bolivia,11,month,4012.8,4642,5202,
Bolivia,12,month,4296,4822,6564,
Bosnia and Herzegovina,1,month,3456.4,2800,3452,3985
Bosnia and Herzegovina,2,month,3372.8,3203,3454,5060
Bosnia and Herzegovina,3,month,3423.8,2970,4787,3931
Bosnia and Herzegovina,4,month,3068.6,3207,6051,2970
Bosnia and Herzegovina,5,month,3056.4,2938,4223,3000
Bosnia and Herzegovina,6,month,2822.2,2953,3276,2705
Bosnia and Herzegovina,7,month,2866.6,3066,3067,2779
Bosnia and Herzegovina,8,month,2911.4,3329,3019,3182
Bosnia and Herzegovina,9,month,2727.2,3459,3779,3075
Bosnia and Herzegovina,10,month,3072.4,3506,4125,2864
Bosnia and Herzegovina,11,month,2993.6,5410,4615,2887
Bosnia and Herzegovina,12,month,3127,5962,4655,3227
Brazil,1,month,107200.8,110932,151728,168257
Brazil,2,month,96648.6,104255,137029,135927
Brazil,3,month,108378.6,117888,209406,123641
Brazil,4,month,108504.6,123596,196654,118717
Brazil,5,month,115587,154511,182945,132372
Brazil,6,month,115331.6,140663,172187,136780
Brazil,7,month,119659.2,145262,158549,138613
Brazil,8,month,113413,141329,143594,135328.2
Brazil,9,month,106914,127115,125984,123526.4
Brazil,10,month,108218.4,128797,125180,119114.7
Brazil,11,month,102370.2,122598,119930,118244.5
Brazil,12,month,108400.4,139878,132436,119096.5
Brunei,1,month,146.2,183,124,
Brunei,2,month,125,151,145,
Brunei,3,month,139.8,151,159,
Brunei,4,month,137.6,138,148,
Brunei,5,month,137.2,136,140,
Brunei,6,month,117.4,182,164,
Brunei,7,month,138.8,140,155,
Brunei,8,month,147.4,148,54,
Brunei,9,month,144.6,122,59,
Brunei,10,month,150.2,133,132,
Brunei,11,month,123.4,128,313,
Brunei,12,month,141.2,140,272,
Bulgaria,1,week,2584,2091,2628,3170
Bulgaria,2,week,2575,2262,2489,3166
Bulgaria,3,week,2528.8,2166,2525,3276
Bulgaria,4,week,2508.8,2375,2464,3501
Bulgaria,5,week,2460.4,2414,2388,3649
Bulgaria,6,week,2313,2328,2371,3651
Bulgaria,7,week,2296.4,2286,2494,3470
Bulgaria,8,week,2287.2,2142,2589,3046
Bulgaria,9,week,2280,2152,2755,2712
Bulgaria,10,week,2268.8,2011,3020,2671
Bulgaria,11,week,2202.4,2000,3391,2442
Bulgaria,12,week,2163.4,1970,3686,2504
Bulgaria,13,week,2142.8,1999,4044,2394
Bulgaria,14,week,2132.4,1951,3787,2311
Bulgaria,15,week,2074.4,1920,3738,2148
Bulgaria,16,week,2066.2,2024,3437,2059
Bulgaria,17,week,2052.4,1981,3139,2144
Bulgaria,18,week,2013,1891,2801,1893
Bulgaria,19,week,2030.4,1913,2552,2024
Bulgaria,20,week,1969.6,2087,2362,1983
Bulgaria,21,week,1975,1898,2184,1975
Bulgaria,22,week,1953.6,1799,2098,1900
Bulgaria,23,week,1918.8,1922,2054,1767
Bulgaria,24,week,1934.4,1951,2030,1780
Bulgaria,25,week,1961.6,1930,2291,1858
Bulgaria,26,week,1959.2,1904,2139,1873
Bulgaria,27,week,1898,2138,2099,1860
Bulgaria,28,week,1940.6,2043,2091,1928
Bulgaria,29,week,1873,1846,1936,2003
Bulgaria,30,week,1971.2,1987,2104,2164
Bulgaria,31,week,1963,2161,2242,2155
Bulgaria,32,week,1934.4,2059,2243,2054
Bulgaria,33,week,1859,1975,2085,2073
Bulgaria,34,week,1834.2,1911,2348,1984
Bulgaria,35,week,1817.8,1937,2479,1862
Bulgaria,36,week,1815.8,1946,2658,1937
Bulgaria,37,week,1817,1912,2900,1903
Bulgaria,38,week,1813.6,1849,2776,1844
Bulgaria,39,week,1803.2,1844,2842,1973
Bulgaria,40,week,1948.8,1986,3073,1969
Bulgaria,41,week,1985,2084,3403,1996
Bulgaria,42,week,2058.8,2157,3841,2095
Bulgaria,43,week,2053.2,2372,4049,2122
Bulgaria,44,week,2086.8,2732,4171,2160
Bulgaria,45,week,2103,3236,4092,2092
Bulgaria,46,week,2125.2,3948,3987,2143
Bulgaria,47,week,2080.2,4407,3657,1945
Bulgaria,48,week,2105,4739,3491,2020
Bulgaria,49,week,2154.6,4753,3310,2143
Bulgaria,50,week,2193.6,4370,3132,2120
Bulgaria,51,week,2227,3945,3100,2122
Bulgaria,52,week,2354.2,3242,3084,2209
Bulgaria,53,week,2149,2968,,
Cape Verde,1,month,247.4,250,,
Cape Verde,2,month,218.6,226,,
Cape Verde,3,month,249.8,212,,
Cape Verde,4,month,208.4,221,,
Cape Verde,5,month,202.2,206,,
Cape Verde,6,month,197,245,,
Cape Verde,7,month,216,227,,
Cape Verde,8,month,243.6,259,,
Cape Verde,9,month,227,283,,
Cape Verde,10,month,229.4,293,,
Cape Verde,11,month,218.8,264,,
Cape Verde,12,month,233,273,,
Canada,1,week,6067,6210,6805,7125
Canada,2,week,6091,6220,6770,7765
Canada,3,week,6038,6135,6760,7995
Canada,4,week,5902,6165,6680,7745
Canada,5,week,5776,5855,6500,7405
Canada,6,week,5746,5900,6120,7075
Canada,7,week,5735,5735,6080,6720
Canada,8,week,5709,5680,5985,6410
Canada,9,week,5638,5770,6005,6320
Canada,10,week,5620,5770,5785,6110
Canada,11,week,5525,5680,5630,5950
Canada,12,week,5503,5885,5755,5820
Canada,13,week,5464,5930,5670,5790
Canada,14,week,5371,6295,5870,6190
Canada,15,week,5361,6585,5750,6070
Canada,16,week,5288,6620,5760,6085
Canada,17,week,5249,6945,5975,6085
Canada,18,week,5291,6900,5915,6215
Canada,19,week,5165,6440,5820,6405
Canada,20,week,5048,6115,5820,5950
Canada,21,week,5036,5930,5360,5845
Canada,22,week,4920,5895,5670,5830
Canada,23,week,4929,5540,5360,5770
Canada,24,week,4900,5205,5420,5695
Canada,25,week,4871,5300,5335,5520
Canada,26,week,4880,5305,6165,5755
Canada,27,week,4905,5165,5425,5725
Canada,28,week,4856,5395,5395,6025
Canada,29,week,4793,5280,5420,6025
Canada,30,week,4879,5285,5560,5990
Canada,31,week,4790,5225,5575,5965
Canada,32,week,4849,5250,5485,5975
Canada,33,week,4855,5415,5750,5955
Canada,34,week,4828,5410,5670,5870
Canada,35,week,4893,5260,5840,6020
Canada,36,week,4908,5440,6100,5855
Canada,37,week,4937,5325,5990,5905
Canada,38,week,4950,5470,5995,6060
Canada,39,week,5088,5745,6080,6250
Canada,40,week,5194,5705,6020,6230
Canada,41,week,5206,5770,6200,6155
Canada,42,week,5279,5725,6200,6360
Canada,43,week,5268,5745,6075,6350
Canada,44,week,5337,5905,6285,6305
Canada,45,week,5311,6250,6395,6095
Canada,46,week,5314,6145,6195,6210
Canada,47,week,5333,6140,6250,6200
Canada,48,week,5402,6295,6375,
Canada,49,week,5421,6495,6230,
Canada,50,week,5465,6575,6440,
Canada,51,week,5578,6440,6550,
Canada,52,week,5706,6645,6525,
Canada,53,week,,6780,,
Chile,1,week,1545.6,1535,2448,2487
Chile,2,week,1475,2053,2439,2490
Chile,3,week,1514.6,2057,2702,2419
Chile,4,week,1528,1964,2560,2665
Chile,5,week,1531.8,1970,2635,2914
Chile,6,week,1469.2,1994,2506,3036
Chile,7,week,1466.6,1909,2502,3242
Chile,8,week,1504.4,1899,2607,3269
Chile,9,week,1426,1884,2661,3102
Chile,10,week,1431.4,1885,2656,2878
Chile,11,week,1436.2,1928,2550,2677
Chile,12,week,1444.8,2008,2741,2558
Chile,13,week,1473.2,2006,2833,2484
Chile,14,week,1509.2,2081,2849,2469
Chile,15,week,1561.2,2010,2899,2254
Chile,16,week,1527.2,2087,2664,2421
Chile,17,week,1587.6,2095,2787,2288
Chile,18,week,1583.4,2083,2735,2443
Chile,19,week,1564.4,2342,2767,2519
Chile,20,week,1629.8,2438,2936,2495
Chile,21,week,1741.2,2933,3081,2468
Chile,22,week,1766.4,3394,3018,2892
Chile,23,week,1848.6,3899,3132,2770
Chile,24,week,1932.2,3983,3182,2879
Chile,25,week,1940.4,3732,3196,2819
Chile,26,week,1952.6,3519,3327,2884
Chile,27,week,1912,3070,3120,3009
Chile,28,week,1888.6,2967,3043,3058
Chile,29,week,1939.8,2814,2868,3077
Chile,30,week,1895.8,2698,2749,2676
Chile,31,week,1875.2,2653,2640,2629
Chile,32,week,1822.2,2516,2628,2666
Chile,33,week,1796,2431,2613,2734
Chile,34,week,1778.4,2596,2362,2630
Chile,35,week,1724,2479,2339,2615
Chile,36,week,1770.6,2395,2397,2520
Chile,37,week,1723.4,2405,2389,2536
Chile,38,week,1771,2401,2361,2643
Chile,39,week,1698,2364,2250,2401
Chile,40,week,1655.4,2340,2327,2388
Chile,41,week,1604.4,2396,2362,2334
Chile,42,week,1585,2307,2222,2341
Chile,43,week,1566.4,2304,2405,2363
Chile,44,week,1553.6,2268,2248,2524
Chile,45,week,1557.2,2239,2395,2445
Chile,46,week,1518.4,2121,2362,2471
Chile,47,week,1553.8,2184,2405,2605
Chile,48,week,1516.6,2203,2539,2319
Chile,49,week,1480.2,2174,2383,2488
Chile,50,week,1512,2187,2426,2531
Chile,51,week,1507,2155,2419,2332
Chile,52,week,1449.2,2291,2422,2301
Chile,53,week,,2239,,
Colombia,1,week,4752.4,5019,8054,6405
Colombia,2,week,4535.6,5050,8537,7083
Colombia,3,week,4553.6,4937,8573,7901
Colombia,4,week,4420,4793,7753,8288
Colombia,5,week,4310.2,4651,7103,7751
Colombia,6,week,4254.8,4760,6401,6910
Colombia,7,week,4206.6,4736,5969,6120
Colombia,8,week,4202.2,4729,5620,5456
Colombia,9,week,4239.4,4565,5624,5195
Colombia,10,week,4280,4567,5368,5076
Colombia,11,week,4317.6,4480,5654,4972
Colombia,12,week,4263,4529,6015,4972
Colombia,13,week,4278.4,4358,6557,4888
