Context,node1,node2,node3,node4,node5,node6,node7,node8,node9,node10,node11,node12
74,Tithansi,Duiker,Semk,,,,,,,,,
74,Duiker,Semk,,,,,,,,,,
75,Felisin,Heboric,Kulp,,,,,,,,,
75,Worldbuilding,Heboric,,,,,,,,,,
75,Heboric,Kulp,Olar,,,,,,,,,
76,Worldbuilding,Kalam,,,,,,,,,,
77,Keneb,Icarium,,,,,,,,,,
78,Kalam,Minala,Keneb,,,,,,,,,
78,Minala,Keneb,,,,,,,,,,
79,Duiker,Pearl,Lostara,Semk,Apt,Tithansi,,,,,,
79,Pearl,Lostara,Semk,Apt,Tithansi,,,,,,,
79,Lostara,Semk,Apt,Tithansi,,,,,,,,
79,Semk,Apt,Tithansi,,,,,,,,,
79,Apt,Tithansi,,,,,,,,,,
80,Coltaine,Tithansi,Semk,Kamist,Nil,Nether,Lull,,,,,
80,Tithansi,Semk,Kamist,Nil,Nether,Lull,,,,,,
80,Semk,Kamist,Nil,Nether,Lull,,,,,,,
80,Kamist,Nil,Nether,Lull,,,,,,,,
80,Nil,Nether,Lull,,,,,,,,,
80,Nether,Lull,,,,,,,,,,
81,Duiker,,,,,,,,,,,
82,Worldbuilding,Kalam,Kallor,,,,,,,,,
83,Kalam,Keneb,Minala,,,,,,,,,
83,Keneb,Minala,,,,,,,,,,
84,Kalam,Lostara,Pearl,,,,,,,,,
84,Lostara,Pearl,,,,,,,,,,
85,Felisin,Heboric,Kulp,Gryllen,Messremb,Baudin,,,,,,
85,Heboric,Kulp,Gryllen,Messremb,Baudin,,,,,,,
85,Kulp,Gryllen,Messremb,Baudin,,,,,,,,
85,Gryllen,Messremb,Baudin,,,,,,,,,
85,Messremb,Baudin,,,,,,,,,,
86,Pormqual,Laseen,Kalam,Minala,,,,,,,,
86,Kalam,Minala,,,,,,,,,,
87,Coltaine,Nethpara,,,,,,,,,,
88,Heboric,Toblakai,,,,,,,,,,
89,Shaik,Toblakai,Leoman,Felisin,Heboric,,,,,,,
89,Toblakai,Leoman,Felisin,Heboric,,,,,,,,
89,Leoman,Felisin,Heboric,,,,,,,,,
89,Felisin,Heboric,,,,,,,,,,
90,Fiddler,Crokus,Icarium,Mappo,,,,,,,,
90,Worldbuilding,Icarium,Mappo,,,,,,,,,
90,Crokus,Icarium,Mappo,,,,,,,,,
90,Icarium,Mappo,,,,,,,,,,
91,Nameless,,,,,,,,,,,
92,Crokus,Iskaral,Apsalar,Rellock,,,,,,,,
92,Iskaral,Apsalar,Rellock,,,,,,,,,
92,Apsalar,Rellock,,,,,,,,,,
93,Gesler,Stormy,Truth,Duiker,Nether,Nil,Coltaine,,,,,
93,Stormy,Truth,Duiker,Nether,Nil,Coltaine,,,,,,
93,Truth,Duiker,Nether,Nil,Coltaine,,,,,,,
93,Duiker,Nether,Nil,Coltaine,,,,,,,,
93,Nether,Nil,Coltaine,,,,,,,,,
93,Nil,Coltaine,,,,,,,,,,
94,Toblakai,Leoman,Felisin,Dryjhna,Heboric,,,,,,,
94,Leoman,Felisin,Dryjhna,Heboric,,,,,,,,
94,Felisin,Dryjhna,Heboric,,,,,,,,,
94,Dryjhna,Heboric,,,,,,,,,,
95,Icarium,Mappo,Fiddler,Crokus,Iskaral,Apsalar,Rellock,,,,,
95,Mappo,Fiddler,Crokus,Iskaral,Apsalar,Rellock,,,,,,
95,Fiddler,Crokus,Iskaral,Apsalar,Rellock,,,,,,,
95,Crokus,Iskaral,Apsalar,Rellock,,,,,,,,
95,Iskaral,Apsalar,Rellock,,,,,,,,,
95,Apsalar,Rellock,,,,,,,,,,
96,Icarium,Mappo,Fiddler,Crokus,Iskaral,Apsalar,Rellock,,,,,
96,Mappo,Fiddler,Crokus,Iskaral,Apsalar,Rellock,,,,,,
96,Fiddler,Crokus,Iskaral,Apsalar,Rellock,,,,,,,
96,Crokus,Iskaral,Apsalar,Rellock,,,,,,,,
96,Iskaral,Apsalar,Rellock,,,,,,,,,
96,Apsalar,Rellock,,,,,,,,,,
97,Coltaine,Gesler,Stormy,Truth,,,,,,,,
97,Gesler,Stormy,Truth,,,,,,,,,
97,Stormy,Truth,,,,,,,,,,
98,Kalam,Pearl,,,,,,,,,,
99,Tavore,Kalam,,,,,,,,,,
100,Nameless,Icarium,Mappo,,,,,,,,,
100,Icarium,Mappo,,,,,,,,,,
