State,Measure,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12
Alabama,PFIaffectNeigh,4.94,4.64,4.94,4.88,4.92,5.33,3.75,4,4.75,0,0,0
West Virginia,PFIaffectNeigh,5.88,5.56,5.5,5.31,4.75,6,3.5,4.42,4.67,5.58,4.33,6
Puerto Rico,PFIaffectNeigh,2.5,2.5,3.25,2.5,2.25,3.5,2.75,2.25,2.5,3,2.25,3.25
Vermont,PFIaffectNeigh,5.42,5.75,4.25,4.75,4,5,4.13,4.38,4.25,4.75,4.25,6.25
Montana,PFIaffectNeigh,5,4.75,4.75,4.5,3.25,5,0,4,4,5,4.5,0
Wisconsin,PFIaffectNeigh,5.27,5.52,5.35,5.16,4.44,5.75,4.5,4.31,4.14,5.53,4.35,5.33
Kansas,PFIaffectNeigh,4.95,5.06,6.13,5.44,4.25,6.25,4.5,4.5,5.5,6.75,0,0
District of Columbia,PFIaffectNeigh,6.25,7,6.13,5.63,4,7,4.88,5.5,5.5,0,5.5,7
Louisiana,PFIaffectNeigh,4.97,5.31,5.54,4.89,3.88,4.96,3.63,3.75,3.88,4.7,3.9,4.85
Minnesota,PFIaffectNeigh,5.07,4.79,5.56,5.4,4.42,4.5,4.75,4,4.25,0,4.5,5.63
South Carolina,PFIaffectNeigh,5.06,5.66,5.28,4.88,4.53,5.78,4.54,4.59,4.66,4.9,4.25,5.29
Iowa,PFIaffectNeigh,4.96,4.75,4.5,4.55,3.94,3.92,2.75,3.5,4.08,2.75,2.88,4.38
New Jersey,PFIaffectNeigh,5.71,5.31,5.41,5.63,4.3,5.63,4.95,4.52,4.73,5.85,4.53,5.54
Nebraska,PFIaffectNeigh,5.35,5.25,5.3,5.3,5,5,4.67,4,4,5.13,5.13,5.08
New Hampshire,PFIaffectNeigh,5.13,5.17,5.42,4.67,4.38,4.42,4.13,3.33,3.5,5.75,4.5,5.25
Mississippi,PFIaffectNeigh,4.9,5.75,5.17,4.5,4,5.08,3.88,3.63,3.92,4.83,3.94,4.63
none,PFIaffectNeigh,5.75,5.5,5.5,5.5,4.25,5.13,3.63,4.38,4.13,0,0,4.88
Rhode Island,PFIaffectNeigh,5.25,6,4.63,5.88,3.5,0,3.25,3.38,0,0,4.63,4.88
Nevada,PFIaffectNeigh,5.43,5.6,5.05,5.5,4.75,5.54,4.85,4.58,4.65,5.8,4.45,4.9
Delaware,PFIaffectNeigh,5.42,6,4.75,3.75,3.38,2.5,4,3.75,3,4.25,3,3.5
Connecticut,PFIaffectNeigh,5.05,5.5,5.58,5.75,4.25,5.33,4.25,4,4.25,4.75,4,5.5
South Dakota,PFIaffectNeigh,7,0,6,6,0,3.75,0,0,0,0,0,0
Utah,PFIaffectNeigh,6.25,6,6.5,6.5,5,5,4.25,5,0,6,0,6
Maine,PFIaffectNeigh,4.5,0,0,0,0,0,0,0,0,2.25,0,0
All states,PFIaffectNeigh,5.15,5.17,5.08,5.09,4.25,5.2,4.25,4.24,4.27,5.13,4.23,5.2
Pennsylvania,PFINeigh1,5.42,5.46,5,5.04,5.3,5.35,5,5,4.82,5.31,4.8,5
Virginia,PFINeigh1,5.15,4.45,4.67,4.79,4.75,5.15,4.43,5,5.25,5.1,5.38,5.13
Tennessee,PFINeigh1,4.88,5.5,5.42,5.55,5.4,5.25,4.89,5.56,5.17,5.4,5.33,5.38
California,PFINeigh1,5.35,5.19,5.16,5.11,5.2,5.05,5.13,5.31,5.18,4.88,5.23,5.17
Georgia,PFINeigh1,5.44,5.42,5.7,5.45,5.6,5.94,5.87,5.94,6.06,5.88,6.17,5.89
Texas,PFINeigh1,4.99,4.9,4.64,4.87,5.17,4.97,5.21,4.82,5.03,5.18,4.89,5
Massachusetts,PFINeigh1,4.67,5.06,4.75,4.94,5.27,5.07,5,5.63,4.83,5.33,5.38,5.33
New York,PFINeigh1,5.77,5.63,5.27,5.46,5.14,5.59,5.28,5.69,5.5,5.76,5.33,5.58
Kentucky,PFINeigh1,5.07,5.5,5.62,5,5.73,5.73,5.88,5.33,5.14,5.44,5.38,4.78
Maryland,PFINeigh1,5.44,5,5.27,4.67,5.3,5,5.22,5.3,5,4.78,5.25,4.89
Washington,PFINeigh1,4.81,4.29,5.11,5.18,5,4.71,4.58,5.08,4.55,4.58,4.36,4.9
Indiana,PFINeigh1,5.06,5.46,5.36,5.07,5.3,4.8,5.4,5.5,5.78,5.43,5.44,5.5
Ohio,PFINeigh1,5.22,5.28,5.11,5.13,5.26,5.43,5.21,5.44,5.31,5.11,5.71,5.7
Michigan,PFINeigh1,5.52,5.35,5.38,5.21,5.5,5.53,5.62,5.28,5.56,5.67,5.71,5.64
Hawaii,PFINeigh1,5.4,4.25,5.6,5.25,4.25,5,5,5.6,5.5,4.67,5.67,6.5
North Carolina,PFINeigh1,4.67,5.55,4.82,5,5.11,5.24,4.89,4.59,4.89,4.32,5,5
Oregon,PFINeigh1,4.6,4.71,4.67,4.9,5.4,5.3,4.67,4.89,5,4.67,5.25,5
New Mexico,PFINeigh1,5.5,6,4,4,5.67,4.5,6,5,3.5,4,5.5,5
Florida,PFINeigh1,4.86,5.04,4.83,5,5.1,5.12,5.1,4.83,5.05,4.76,4.95,5.03
Illinois,PFINeigh1,4.66,5,5.05,4.95,4.9,5.24,4.77,4.71,5,5.19,5.07,5.14
Arizona,PFINeigh1,5.27,5.47,5.24,5.42,5.13,5.47,5.29,4.81,5.43,5.36,5.11,5.42
Colorado,PFINeigh1,6,5.8,5.4,5.67,6,5.9,6,5.86,6.13,6,5.4,6
Oklahoma,PFINeigh1,4.71,4.89,4.11,4.25,5,3.8,5,4.17,4.33,4.2,4.57,4.29
Missouri,PFINeigh1,4.92,4.55,4.89,4.7,5,4.5,4.67,5,5.67,5.67,5.29,5.6
Arkansas,PFINeigh1,5.33,4.67,5,5.8,5.33,6,4.25,5.25,5.5,6,6,6.33
Idaho,PFINeigh1,6,4.67,6.5,5.33,5.33,5,6,5.33,5.67,5.67,6,5.67
Alabama,PFINeigh1,5,5.57,5.38,5.5,6.33,5.67,5.5,4.75,7,0,0,0
West Virginia,PFINeigh1,6,5.75,5.25,5.75,6.33,6,4,5.67,6,5.67,5.33,6.33
Puerto Rico,PFINeigh1,1,1,2,2,1,2,2,2,2,1,2,2
Vermont,PFINeigh1,5.67,5.67,4.5,5,5,5,5,5,5,4.5,5.5,6
Montana,PFINeigh1,5,5,5,5,5,5,0,5,5,5,6,0
