measure,location,sex,cause,rei,val
DALYs (Disability-Adjusted Life Years),East Asia,Both,Cardiovascular diseases,Air pollution,12099620.93
DALYs (Disability-Adjusted Life Years),Global,Female,Cardiovascular diseases,Impaired kidney function,11907835.51
DALYs (Disability-Adjusted Life Years),Western Sub-Saharan Africa,Female,Neonatal disorders,Child and maternal malnutrition,11854762.68
DALYs (Disability-Adjusted Life Years),Global,Male,Cardiovascular diseases,Low physical activity,11780126.54
DALYs (Disability-Adjusted Life Years),South Asia,Male,Cardiovascular diseases,Tobacco,11717567.6
DALYs (Disability-Adjusted Life Years),World Bank Upper Middle Income,Both,Diabetes and kidney diseases,Impaired kidney function,11701890.37
DALYs (Disability-Adjusted Life Years),Western Sub-Saharan Africa,Both,Respiratory infections and tuberculosis,Air pollution,11676641.81
DALYs (Disability-Adjusted Life Years),Eastern Sub-Saharan Africa,Male,Neonatal disorders,Child and maternal malnutrition,11551544.49
DALYs (Disability-Adjusted Life Years),East Asia,Male,Cardiovascular diseases,High LDL cholesterol,11528111.8
DALYs (Disability-Adjusted Life Years),North Africa and Middle East,Both,Neonatal disorders,Child and maternal malnutrition,11515636.24
DALYs (Disability-Adjusted Life Years),Southeast Asia,Male,Cardiovascular diseases,High systolic blood pressure,11502961.85
DALYs (Disability-Adjusted Life Years),Global,Both,Digestive diseases,Alcohol use,11484325.55
DALYs (Disability-Adjusted Life Years),South Asia,Both,Enteric infections,Child and maternal malnutrition,11477981.29
DALYs (Disability-Adjusted Life Years),Southeast Asia,Male,Cardiovascular diseases,Dietary risks,11454184.87
DALYs (Disability-Adjusted Life Years),World Bank Upper Middle Income,Both,Cancer,Dietary risks,11407232.99
DALYs (Disability-Adjusted Life Years),East Asia,Both,Cardiovascular diseases,High fasting plasma glucose,11327624.44
DALYs (Disability-Adjusted Life Years),Global,Both,Transport injuries,Occupational risks,11276933.16
DALYs (Disability-Adjusted Life Years),World Bank Upper Middle Income,Both,HIV/AIDS,Unsafe sex,11198802.06
DALYs (Disability-Adjusted Life Years),World Bank Lower Middle Income,Both,Cardiovascular diseases,Impaired kidney function,11163696.22
DALYs (Disability-Adjusted Life Years),World Bank High Income,Female,Cardiovascular diseases,High systolic blood pressure,10922668.91
DALYs (Disability-Adjusted Life Years),Global,Both,Cancer,High body-mass index,10899328.13
DALYs (Disability-Adjusted Life Years),World Bank Lower Middle Income,Both,Respiratory infections and tuberculosis,Tobacco,10817990.25
DALYs (Disability-Adjusted Life Years),World Bank Upper Middle Income,Male,Cardiovascular diseases,Air pollution,10814316.84
DALYs (Disability-Adjusted Life Years),East Asia,Both,Chronic respiratory diseases,Tobacco,10804040.15
