Country,Parameter,Value,22/01/2020,23/01/2020,24/01/2020,25/01/2020,26/01/2020,27/01/2020,28/01/2020,29/01/2020,30/01/2020,31/01/2020,01/02/2020,02/02/2020,03/02/2020,04/02/2020,05/02/2020,06/02/2020,07/02/2020,08/02/2020,09/02/2020,10/02/2020,11/02/2020,12/02/2020,13/02/2020,14/02/2020,15/02/2020,16/02/2020,17/02/2020,18/02/2020,19/02/2020,20/02/2020,21/02/2020,22/02/2020,23/02/2020,24/02/2020,25/02/2020,26/02/2020,27/02/2020,28/02/2020,29/02/2020,01/03/2020,02/03/2020,03/03/2020,04/03/2020,05/03/2020,06/03/2020,07/03/2020,08/03/2020,09/03/2020,10/03/2020,11/03/2020,12/03/2020,13/03/2020,14/03/2020,15/03/2020,16/03/2020,17/03/2020,18/03/2020,19/03/2020,20/03/2020,21/03/2020,22/03/2020,23/03/2020,24/03/2020,25/03/2020,26/03/2020,27/03/2020,28/03/2020,29/03/2020,30/03/2020,31/03/2020,01/04/2020,02/04/2020,03/04/2020,04/04/2020,05/04/2020,06/04/2020,07/04/2020,08/04/2020,09/04/2020,10/04/2020,11/04/2020,12/04/2020,13/04/2020,14/04/2020
Curacao,Confirmed,change,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,2,0,0,2,0,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
Cyprus,Confirmed,change,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,8,12,0,7,13,3,18,0,17,11,21,8,8,14,16,17,35,16,32,58,36,40,30,20,19,29,32,38,31,21,17,29,33
Czechia,Confirmed,change,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,3,4,6,1,12,0,10,50,3,47,48,64,45,98,68,230,139,162,125,116,158,260,271,354,352,186,184,307,200,350,233,381,115,235,195,295,257,163,99,160,68,52
Denmark,Confirmed,change,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,2,4,0,13,0,12,55,172,180,173,186,26,37,50,63,80,94,104,71,69,55,141,133,153,169,155,194,182,283,247,279,371,320,292,312,390,331,233,184,177,178,144,193
Djibouti,Confirmed,change,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,8,0,1,2,4,0,12,3,7,9,1,9,31,0,45,0,15,37,27,84,65
Dominica,Confirmed,change,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,4,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0
Dominican Republic,Confirmed,change,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,6,0,0,10,0,13,38,40,90,43,67,80,96,93,138,140,42,208,175,96,108,0,257,83,128,155,238,271,139,208,200,119
Ecuador,Confirmed,change,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,3,3,0,0,1,1,0,2,0,0,11,0,9,21,53,88,168,139,283,192,101,91,230,192,228,101,38,278,508,415,205,97,181,101,0,703,515,2196,96,209,63,74
Egypt,Confirmed,change,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,12,0,34,6,4,1,7,13,29,1,40,46,0,60,29,9,33,39,36,54,39,41,40,33,47,54,69,86,120,85,103,149,128,110,139,95,145,126,125,160
El Salvador,Confirmed,change,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,4,4,0,6,5,6,2,0,9,5,10,6,7,9,15,10,14,1,7,12,12
Equatorial Guinea,Confirmed,change,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,0,0,0,3,0,0,3,0,0,0,0,0,3,0,1,0,0,0,0,2,0,0,0,3,0,20
Eritrea,Confirmed,change,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,0,0,6,0,3,0,7,0,7,0,2,0,2,0,1,0,0,0,0
Estonia,Confirmed,change,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,7,0,0,0,2,4,0,63,36,56,34,20,33,9,16,23,20,26,17,35,134,37,70,34,36,30,34,79,103,78,58,11,41,36,22,51,46,5,23,41
Eswatini,Confirmed,change,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,2,3,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,1,0
Ethiopia,Confirmed,change,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,3,0,2,0,1,0,0,4,0,5,2,3,3,0,6,3,5,1,8,3,1,9,4,2,3,8
