country,type,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
United Kingdom,oil,3188.6,3416.1,3671.2,3886.2,4177.2,4423.6,4447,4715.3,4840.2,4495.9,3932.1,3909,3941.8,4043.7,4080,3488.8,3230.2,3267.4,3142,3862.2,3355.8,3363.5,3270.8,3479.4,3556.8,3602.6,3585.8,3625.9,3644.1,3606,3563.8,3652.6,3547.6,3533.7,3484.3,3428.4,3403.3,3389.6,3430.3,3521,3646.1,3614.1,3497.8,3416.9,3247.5,3197.5,3143.8,3053.1,3002.3,2999,3082.8,3183.3,3188.3,3144.8,3063.7,2353,2495.9
Azerbaijan,oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349.9,366.5,345,353.3,344.5,361.4,348.5,339.6,338.6,310.2,279.6,251.2,239,251.5,241.2,267.4,170.2,156.7,182.2,196.5,229.7,205.6,193.9,155,144.5,142.7,174.9,182.9,199.1,195.5,198.4,197,198.8,208.4,208.5,180.7,187.2
Belarus,oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1066.8,1260.4,1246.7,1207.7,1130.9,1122.8,1101.7,815,628,513,447.5,440.2,385.3,364,333,329.3,318.6,335.4,339.6,332.7,309.7,363.4,330.6,329.1,379.8,326.4,355.3,436.1,329.1,335.3,282.5,303.7,301.9,351,357.7,344.5,326.9
Kazakhstan,oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,888.8,809.6,782.5,785.7,801.8,922.8,930.9,869.7,671.8,526.7,514.8,435.3,437.9,364,300.2,332,331.8,339,369.8,392.3,402.3,460.7,499.4,499.2,405.8,418.7,554.8,592.6,603.6,618.1,578.6,604.8,616.7,662.8,672.5,591.2,631
Russian Federation,oil,7181.5,7690.5,8379.2,8932,9498.2,10456,11085,12022.8,12925.4,14199,14884.5,15295,15907.5,16880.8,17176.8,18006.1,18163.1,18030.5,17767.1,17769.7,10570.6,10696.9,10784.4,10699.2,10898.8,10744.7,10470.5,9998.9,8337.7,7365.7,6427.6,5542.2,5496.9,5265.5,5383.1,5276.9,5433.9,5242.4,5433.1,5358.5,5377.7,5650.5,5622,5801.9,5566.7,5777.7,6198.2,6304.2,6296,6601,6342.9,6504.4,6479.1,6550.2,6690.8,6336.5,6706.6
Turkmenistan,oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.4,151,150.8,150.7,150.5,197.3,220.7,212.6,122.4,122.9,113,131.4,128.6,165,180.1,173.5,165.7,189.3,215.8,215.5,216.5,210.7,221.4,227.2,217.7,240.6,250.7,261.3,269.7,282.2,284.2,282.1,282.6,284.7,286,272.7,283.8
Uzbekistan,oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440.2,448.7,454.9,471.2,476.7,473,453.7,363.4,380.4,324.2,284,281.3,298.5,289.2,304.1,303.9,302.6,301.1,293.7,268,229.9,239.4,246.5,230.1,198.8,211.6,215,179.6,168.4,155.5,157.2,165.4,166.5,181.6,182.4,157.1,171.4
Iran,oil,295,322.9,357.1,394.1,430.4,465.1,509.9,567.6,681.3,791.9,928.5,1052.4,1221,1224.5,1288.5,1189,1183,1288.4,1568.4,1697.9,1866.2,1721.9,1795.8,1801,1931.9,1991.6,2111.6,2270.3,2490.1,2572.1,2529.5,2654.9,2729.4,2649.8,2708.2,2792.6,2879.1,2903.8,2917,3056.1,3276.6,3571,3596.7,3706.9,3609.6,3367.4,3432.4,3536.8,3776.2,3501.9,3083.4,3058.4,3152,3293.9,3417.2,3220.7,3246.8
Iraq,oil,65,69.6,74.6,80,85.7,112.5,120.5,146.6,143.5,141.2,141,172.6,204.1,197.3,240.5,313.7,313.4,323.6,383.3,422.9,480.2,534.6,544.9,592.3,673.1,670.2,450.3,710.5,966.3,1093.6,1080.5,1086.7,1329.9,957.1,659.4,1019.8,1164.1,1104.7,991.7,1079.9,1009.9,978.1,877.8,983.2,947.1,1076.5,1148.3,1265.6,1406.5,1323.1,1279.3,1409.9,1468.6,1745.2,1472.7,1287.9,1475.8
Israel,oil,145,150.1,182.4,184.7,209.2,224.1,255.3,241.6,260.3,261,268.4,275.3,289.2,316,327.1,333.2,338.8,341.5,320.5,308.6,274.6,284.8,305.9,338.5,351.4,364.5,364.1,418.1,448.4,465.5,528.8,517.9,567.6,592.8,627.6,556,515.1,513.8,527.5,500.7,491.2,470.5,488,484.5,449.7,445.9,467.1,556.4,422.4,394,419.1,430.2,448.5,453.1,457.7,396.5,413.1
