Measure,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14
NeighborMasks,,,,,3.842249657,3.727416799,3.330422125,3.038863976,2.669889503,2.62464986,2.7,,3.040816327,3.007374631
SafetyProtests,,,,,,,,,3.172413793,,,,,
MoneyProtests,,,,,,,,,5.197838617,,,,,
CurrencyProtests,,,,,,,,,2.586353945,,,,,
ParticipatedProtests,,,,,,,,,0.613793103,,,,,
LikelyToProtests,,,,,,,,,2.238950276,,,,,
COVIDaffectProtest,,,,,,,,,3.387275242,,,,,
RiskProtests1,,,,,,,,,2.47102526,,,,,
RiskProtests2,,,,,,,,,2.434715822,,,,,
RiskProtests3,,,,,,,,,5.446130501,,,,,
RiskProtests4,,,,,,,,,3.825174825,,,,,
RiskProtests5,,,,,,,,,2.262222222,,,,,
TimesHelpGiven1,,,,,,,,,1.627071823,,,,,
TimesHelpGiven2,,,,,,,,,4.047026279,,,,,
TimesHelpGiven3,,,,,,,,,2.177285319,,,,,
TimesHelpGiven4,,,,,,,,,1.849447514,,,,,
TimesHelpGiven5,,,,,,,,,1.713296399,,,,,
TimesHelpGiven6,,,,,,,,,1.458448753,,,,,
TimesHelpGiven7,,,,,,,,,4.114799447,,,,,
HelpReceived1,,,,,,,,,1.495159059,,,,,
HelpReceived2,,,,,,,,,3.33933518,,,,,
HelpReceived3,,,,,,,,,1.938973648,,,,,
HelpReceived4,,,,,,,,,1.520166898,,,,,
HelpReceived5,,,,,,,,,1.479224377,,,,,
HelpReceived6,,,,,,,,,1.230235784,,,,,
HelpReceived7,,,,,,,,,3.308437068,,,,,
ReceivedCharity,,,,,,,,,1.112656467,,,,,
GivenCharity,,,,,,,,,1.593103448,,,,,
Motivations1,,,,,,,,,3.814917127,,,,,
Motivations2,,,,,,,,,3.435862069,,,,,
Motivations3,,,,,,,,,2.332409972,,,,,
Motivations4,,,,,,,,,2.276243094,,,,,
Motivations5,,,,,,,,,4.009668508,,,,,
Motivations6,,,,,,,,,3.845517241,,,,,
Motivations7,,,,,,,,,1.871724138,,,,,
Motivations8,,,,,,,,,3.424410541,,,,,
Motivations9,,,,,,,,,1.733425414,,,,,
Motivations10,,,,,,,,,3.091160221,,,,,
Motivations11,,,,,,,,,3.278008299,,,,,
Motivations12,,,,,,,,,1.75,,,,,
Chaos1,,,,,,,,,2.071823204,,,,,
Chaos2,,,,,,,,,1.937931034,,,,,
Chaos3,,,,,,,,,1.888121547,,,,,
Chaos4,,,,,,,,,2.666206897,,,,,
Chaos5,,,,,,,,,2.907586207,,,,,
Chaos6,,,,,,,,,1.867586207,,,,,
Chaos7,,,,,,,,,1.748618785,,,,,
Chaos8,,,,,,,,,2.482758621,,,,,
Chaos9,,,,,,,,,2.459310345,,,,,
Chaos10,,,,,,,,,5.107586207,,,,,
Chaos11,,,,,,,,,4.636740331,,,,,
Chaos12,,,,,,,,,5.439226519,,,,,
FutureConsequences1,,,,,,,,,4.095303867,,,,,
FutureConsequences2,,,,,,,,,2.994475138,,,,,
FutureConsequences3,,,,,,,,,2.964038728,,,,,
FutureConsequences4,,,,,,,,,2.716850829,,,,,
FutureConsequences5,,,,,,,,,3.03038674,,,,,
FutureConsequences6,,,,,,,,,3.235131397,,,,,
FutureConsequences7,,,,,,,,,3.443983402,,,,,
FoodInsecurity1,,,,,,,,,1.404137931,,,,,
FoodInsecurity2,,,,,,,,,1.177931034,,,,,
FoodInsecurity3,,,,,,,,,1.088275862,,,,,
Housing1,,,,,,,,,1.16137931,,,,,
Housing2,,,,,,,,,1.153103448,,,,,
Housing3,,,,,,,,,1.091034483,,,,,
Homeless,,,,,,,,,1.02351314,,,,,
GreenSettings,,,,,,,,,1.853793103,,,,,
OutdoorRec,,,,,,,,,1.863259669,,,,,
Discounting1,,,,,,,,,,1.891213389,,,,
Discounting2,,,,,,,,,,1.39888424,,,,
Discounting3,,,,,,,,,,1.80726257,,,,
Discounting4,,,,,,,,,,1.963687151,,,,
Discounting5,,,,,,,,,,1.69735007,,,,
Discounting6,,,,,,,,,,1.652234637,,,,
Discounting7,,,,,,,,,,1.969273743,,,,
Discounting8,,,,,,,,,,1.418994413,,,,
Discounting9,,,,,,,,,,1.966480447,,,,
Discounting10,,,,,,,,,,1.810320781,,,,
Discounting11,,,,,,,,,,1.945606695,,,,
Discounting12,,,,,,,,,,1.866108787,,,,
Discounting13,,,,,,,,,,1.736694678,,,,
Discounting14,,,,,,,,,,1.519607843,,,,
Discounting15,,,,,,,,,,1.959440559,,,,
Discounting16,,,,,,,,,,1.844537815,,,,
Discounting17,,,,,,,,,,1.370629371,,,,
Discounting18,,,,,,,,,,1.717877095,,,,
Discounting19,,,,,,,,,,1.359832636,,,,
Discounting20,,,,,,,,,,1.562849162,,,,
Discounting21,,,,,,,,,,1.757322176,,,,
Discounting22,,,,,,,,,,1.956703911,,,,
Discounting23,,,,,,,,,,1.959497207,,,,
Discounting24,,,,,,,,,,1.290097629,,,,
Discounting25,,,,,,,,,,1.930264993,,,,
Discounting26,,,,,,,,,,1.924475524,,,,
Discounting27,,,,,,,,,,1.744769874,,,,
Job1,,,,,,,,,,3.107344633,,,,
Job2,,,,,,,,,,4.174121406,,,,
Job3,,,,,,,,,,4.452276065,,,,
ImportantSocialDist,,,,,,,,,,5.741980474,,,,
MaskPreventSurge,,,,,,,,,,5.322175732,,,,
COVIDspike,,,,,,,,,,5.247206704,,,,
CareerImpact,,,,,,,,,,4.829608939,,,,
CareerImpact5yrs,,,,,,,,,,4.379358438,,,,
COVIDthreat,,,,,,,,,,5.424581006,,,,
Response2ndWave,,,,,,,,,,4.589958159,,,,
HowLongSocialDist,,,,,,,,,,6.59832636,,,,
HowLongMask,,,,,,,,,,7.134078212,,,,
ProportionWearMask1,,,,,,,,,,4.43575419,,,,
ProportionWearMask2,,,,,,,,,,5.459497207,,,,
ProportionWearMask3,,,,,,,,,,5.18041958,,,,
ProportionWearMask4,,,,,,,,,,4.497902098,,,,
ClosestMask,,,,,,,,,,5.566011236,,,,
CFC1,,,,,,,,,,5.093444909,,,,
CFC2,,,,,,,,,,4.639160839,,,,
CFC3,,,,,,,,,,4.987447699,,,,
CFC4,,,,,,,,,,5.486750349,,,,
CFC5,,,,,,,,,,4.803072626,,,,
CFC6,,,,,,,,,,5.476190476,,,,
CFC7,,,,,,,,,,4.979020979,,,,
PoliticalOrient,,,,,,,,,,3.482468443,,,,
Contacts24hrs,,,,,,,,,,,,7.625,6.77496038,7.404444444
Contacts7days,,,,,,,,,,,,21.3832853,26.47833066,28.19910847
ContactsMask,,,,,,,,,,,,3.531204644,3.69889065,3.546130952
SelfIsolation,,,,,,,,,,,,,3.476489028,
HouseHoldIsolation,,,,,,,,,,,,,3.31918239,
HouseHoldMask,,,,,,,,,,,,,3.588328076,3.670623145
LargeGroups,,,,,,,,,,,,,,17.61037037
LargeGroupReason1,,,,,,,,,,,,,,1.469432314
LargeGroupReason2,,,,,,,,,,,,,,1.511982571
LargeGroupReason3,,,,,,,,,,,,,,1.411764706
LargeGroupReason4,,,,,,,,,,,,,,1.403930131
SchoolAge,,,,,,,,,,,,1.193965517,,
ConcernBack2School,,,,,,,,,,,,3.528440367,,
MethodSchool,,,,,,,,,,,,2.733615222,,
PreferredMethod,,,,,,,,,,,,1.494382022,,
IfNotPreferred,,,,,,,,,,,,2.421511628,,
Streneous,,,,,,,,,,,,1.714905933,,
Moderate,,,,,,,,,,,,2.483113069,,
Mild,,,,,,,,,,,,3.521834061,,
Sweat,,,,,,,,,,,,2.099280576,,
ActivityCovid,,,,,,,,,,,,2.225574713,,
PT1,,,,,,,,,,,,3.354466859,,
PT2,,,,,,,,,,,,3.803751804,,
PT3,,,,,,,,,,,,3.835497835,,
PT4,,,,,,,,,,,,3.124277457,,
PT5,,,,,,,,,,,,3.935158501,,
PT6,,,,,,,,,,,,3.357348703,,
PT7,,,,,,,,,,,,3.626262626,,
RMET8core,,,,,,,,,,,,0.854256854,,
RMET9score,,,,,,,,,,,,0.619392185,,
RMET12score,,,,,,,,,,,,0.767676768,,
